id;numero_ot;codigo_actividad;Prioridad;frecuencia_new;dia_semana;semana_mes;mes;dia_mes;actividad;duracion;observaciones;fecha_creacion;;;
186;210;AS186;Alta;Quincenal;5;2;0;0;Engrasado de guía circular de la mesa de alineación ;20;Mecánico;2026-01-13 12:11:23;;;
187;210;AS187;Alta;Mensual;1;1;0;0;Lubricacion de transportador de entrada ;25;Mecánico;2026-01-13 12:11:23;;;
188;210;AS188;Alta;Quincenal;4;1;0;0;Revisión y comprobación de elevador de láminas ;20;Mecánico;2026-01-13 12:11:23;;;
189;210;AS189;Alta;Mensual;5;4;0;0;Verificación de nivel de aceite hidráulico ;10;Mecánico;2026-01-13 12:11:23;;;
190;210;AS190;Alta;Quincenal;3;1;0;0;Comprobación de cojinetes del rodillo superior de expulsión ;60;Mecánico;2026-01-13 12:11:23;;;
191;210;AS191;Alta;Semanal;5;0;0;0;Comprobación de fugas en el sistema neumático ;10;Mecánico;2026-01-13 12:11:23;;;
192;210;AS192;Alta;Semestral;4;4;4;0;Comprobación de sistemas de lubricación ;60;Mecánico;2026-01-13 12:11:23;;;
193;210;AS193;Alta;Quincenal;1;1;0;0;Engrasado de cojinete bridado ;60;Mecánico;2026-01-13 12:11:23;;;
194;210;AS194;Alta;Quincenal;6;1;0;0;Engrasado del cojinete del husillo ;60;Mecánico;2026-01-13 12:11:23;;;
195;210;AS195;Alta;Quincenal;5;2;0;0;Vaciado de separador de agua ;60;Mecánico;2026-01-13 12:11:23;;;
196;31;AS196;Alta;Anual;1;1;6;0;Apretar zonas de transición de corriente atornilladas ;30;Electricista;2026-01-13 12:11:23;;;
197;31;AS197;Alta;Anual;2;1;5;0;Limpieza general de paneles eléctricos ;30;Electricista;2026-01-13 12:11:23;;;
198;31;AS198;Alta;Anual;4;2;12;0;Limpieza los mandos electrónicos ;30;Electricista;2026-01-13 12:11:23;;;
199;31;AS199;Alta;Anual;6;3;7;0;Revisión de motor ;30;Electricista;2026-01-13 12:11:23;;;
200;170;AS200;Alta;Diaria;0;0;0;0;Limpieza de posicionador o apilador ;2;Operador;2026-01-13 12:11:23;;;
201;170;AS201;Alta;Diaria;0;0;0;0;Limpieza de residuos ;5;Operador;2026-01-13 12:11:23;;;
202;211;AS202;Alta;Semanal;5;0;0;0;Comprobación de fugas en el sistema neumático ;10;Mecánico;2026-01-13 12:11:23;;;
203;211;AS203;Alta;Semanal;3;0;0;0;Comprobación de la unidad de mantenimiento neumático ;10;Mecánico;2026-01-13 12:11:23;;;
204;211;AS204;Alta;Mensual;2;4;0;0;Comprobación de las uniones roscadas ;10;Mecánico;2026-01-13 12:11:23;;;
205;211;AS205;Alta;Mensual;5;2;0;0;Comprobación y verificación de fajas ;10;Mecánico;2026-01-13 12:11:23;;;
206;211;AS206;Alta;Semanal;6;0;0;0;Verificación de cojines, rodillos, tensores y sprocket ;10;Mecánico;2026-01-13 12:11:23;;;
207;38;AS207;Alta;Anual;3;4;9;0;Apretar zonas de transición de corriente atornilladas ;30;Electricista;2026-01-13 12:11:23;;;
208;38;AS208;Alta;Anual;2;1;7;0;Comprobación de resistencias ;30;Electricista;2026-01-13 12:11:23;;;
